id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>
92781	"block j.h., wagner m., the effect of family ownership on different dimensions of corporate social responsibility: evidence from large us firms, business strategy and the environment, 23, 7, pp. 475-492, (2014)"	-0.0886	-1.0272	4	359	725	35
93349	"bloom n., van reenen j., measuring and explaining management practices across firms and countries, quarterly journal of economics, 122, 4, pp. 1351-1408, (2007)"	-0.6221	-0.2753	3	369	612	23
93352	"bloom n., van reenen j., measuring and explaining management practices across firms and countries, the quarterly journal of economics, 122, 4, pp. 1351-1408, (2007)"	-0.0119	-0.4778	3	476	871	36
95001	"boellis a., mariotti s., minichilli a., piscitello l., family involvement and firms’ establishment mode choice in foreign markets, journal of international business studies, 47, 8, pp. 929-950, (2016)"	-1.2923	0.0135	5	363	878	32
96295	"boling j.r., pieper t.m., covin j.g., ceo tenure and entrepreneurial orientation within family and nonfamily firms, entrepreneurship theory and practice, 40, 4, pp. 891-913, (2016)"	0.0348	0.8302	2	345	619	23
100407	"botero i.c., thomas j., graves c., fediuk t.a., understanding multiple family firm identities: an exploration of the communicated identity in official websites, journal of family business strategy, 4, 1, pp. 12-21, (2013)"	0.4276	-0.8749	4	361	737	31
103011	"boyd b., royer s., pei r., zhang x., knowledge transfer in family business successions: implications of knowledge types and transaction atmospheres, journal of family business management, 5, 1, pp. 17-37, (2015)"	0.7741	0.6243	1	347	566	26
105200	"brannon d.l., wiklund j., haynie j.m., the varying effects of family relationships in entrepreneurial teams, entrepreneurship theory and practice, 37, 1, pp. 107-132, (2013)"	0.5136	0.3402	1	386	639	30
105611	"braun m., sharma a., should the ceo also be chair of the board? an empirical examination of family-controlled public firms, family business review, 20, 2, pp. 111-126, (2007)"	-0.584	-0.644	3	416	673	29
105711	"braun v., clarke v., using thematic analysis in psychology, qualitative research in psychology, 3, 2, pp. 77-101, (2006)"	1.0054	0.1069	1	426	724	154
106681	"brenes e.r., madrigal k., requena b., corporate governance and family business performance, journal of business research, 64, 3, pp. 280-285, (2011)"	-0.0456	-0.5174	3	522	1067	50
107171	"breton-miller i.l., miller d., steier l.p., toward an integrative model of effective fob succession, entrepreneurship theory and practice, 28, 4, pp. 305-328, (2004)"	1.0177	-0.2445	1	311	511	26
107560	"brewton k.e., danes s.m., stafford k., haynes g.w., determinants of rural and urban family firm resilience, journal of family business strategy, 1, 3, pp. 155-166, (2010)"	0.42	0.2726	1	326	492	23
108172	"brigham k.h., lumpkin g.t., payne g.t., zachary m.a., researching long-term orientation: a validation study and recommendations for future research, family business review, 27, 1, pp. 72-88, (2014)"	0.1261	-0.1211	4	428	768	34
108192	"brigham k.h., payne g.t., socioemotional wealth (sew): questions on construct validity, family business review, 32, 4, pp. 326-329, (2019)"	0.1215	-0.7557	5	414	778	28
108504	"brinkerink j., broad search, deep search, and the absorptive capacity performance of family and nonfamily firm r&d, family business review, 31, 3, pp. 295-317, (2018)"	0.1597	1.0062	2	354	679	23
109321	"brockhaus r.h., family business succession: suggestions for future research, family business review, 17, 2, pp. 165-177, (2004)"	1.0276	0.1537	1	554	1331	75
109669	"broekaert w., andries p., debackere k., innovation processes in family firms: the relevance of organizational flexibility, small business economics, 47, 3, pp. 771-785, (2016)"	-0.5391	0.945	2	377	719	27
113020	"brunninge o., nordqvist m., wiklund j., corporate governance and strategic change in smes: the effects of ownership, board composition and top management teams, small business economics, 29, 3, pp. 295-308, (2007)"	-0.4501	0.2814	3	325	558	24
117623	"burkart m., panunzi f., shleifer a., family firms, journal of finance, 58, 5, pp. 2167-2201, (2003)"	-0.9923	-0.4721	3	280	450	23
117637	"burkart m., panunzi f., shleifer a., family firms, the journal of finance, 58, 5, pp. 2167-2201, (2003)"	-0.8222	-0.698	3	268	454	33
121485	"cabrera-suarez k., de saa-perez p., garcia-almeida d., the succession process from a resource- and knowledge-based view of the family firm, family business review, 14, 1, pp. 37-46, (2001)"	0.5731	0.5935	1	450	787	35
121502	"cabrera-suarez k., de saa-perez p., garcia-almeida d., the succession process from a resource-and knowledge-based view of the family firm, family business review, 14, 1, pp. 37-46, (2001)"	0.5933	0.6146	1	555	1267	46
121504	"cabrera-suarez k., de saa-perez p., garcia-almeida d., the succession process from a resource-and knowledge-based view of the family firm, family business review, 14, 1, pp. 37-48, (2001)"	0.4568	0.3769	1	391	601	23
121994	"cadieux l., lorrain j., hugron p., succession in women-owned family businesses: a case study, family business review, 15, 1, pp. 17-30, (2002)"	1.2626	-0.3094	1	288	558	42
122010	"cadieux l., succession in small and medium-sized family businesses: toward a typology of predecessor roles during and after instatement of the successor, family business review, 20, 2, pp. 95-109, (2007)"	1.1693	0.148	1	285	531	31
122901	"calabro a., brogi m., torchia m., what does really matter in the internationalization of small and medium-sized family businesses?, journal of small business management, 54, 2, pp. 679-696, (2016)"	-1.0205	0.3041	5	437	925	31
122928	"calabro a., campopiano g., basco r., pukall t., governance structure and internationalization of family-controlled firms: the mediating role of international entrepreneurial orientation, european management journal, 35, 2, pp. 238-248, (2017)"	-1.0199	0.1289	5	381	671	21
122955	"calabro a., frank h., minichilli a., suess-reyes j., business families in times of crises: the backbone of family firm resilience and continuity, journal of family business strategy, 12, 2, (2021)"	0.1902	-0.1903	5	351	602	38
122983	"calabro a., minichilli a., amore m.d., brogi m., the courage to choose! primogeniture and leadership succession in family firms, strategic management journal, 39, 7, pp. 2014-2035, (2018)"	0.3157	-0.3133	1	657	1457	60
123006	"calabro a., mussolino d., how do boards of directors contribute to family sme export intensity? the role of formal and informal governance mechanisms, journal of management & governance, 17, 2, pp. 363-403, (2013)"	-0.8896	0.0134	5	358	607	24
123022	"calabro a., mussolino d., huse m., the role of board of directors in the internationalisation process of small and medium sized family businesses, international journal of globalisation and small business, 3, 4, pp. 393-411, (2009)"	-1.3129	0.2211	5	310	612	20
123068	"calabro a., torchia m., pukall t., mussolino d., the influence of ownership structure and board strategic involvement on international sales: the moderating effect of family involvement, international business review, 22, 3, pp. 509-523, (2013)"	-1.2006	0.264	5	393	823	33
123111	"calabro a., vecchiarini m., gast j., campopiano g., de massis a., kraus s., innovation in family firms: a systematic literature review and guidance for future research, international journal of management reviews, 21, 3, pp. 317-355, (2019)"	-0.1972	0.4137	2	706	2010	84
125846	"campopiano g., de massis a., chirico f., firm philanthropy in small-and medium-sized family firms: the effects of family involvement in ownership and management, family business review, 27, 3, pp. 244-258, (2014)"	-0.2587	-1.0028	4	384	753	29
125861	"campopiano g., de massis a., corporate social responsibility reporting: a content analysis in family and non-family firms, journal of business ethics, 129, 3, pp. 511-534, (2015)"	-0.1953	-0.9033	4	519	1198	53
125892	"campopiano g., de massis a., rinaldi f.r., sciascia s., women's involvement in family firms: progress and challenges for future research, journal of family business strategy, 8, 4, pp. 200-212, (2017)"	0.9876	-0.4414	1	435	892	40
125897	"campopiano g., de massis a., rinaldi f.r., sciascia s., women’s involvement in family firms: progress and challenges for future research, journal of family business strategy, 8, 4, pp. 200-212, (2017)"	1.0366	-0.4468	1	329	508	28
129349	"carlock r.s., ward j.l., strategic planning for the family business: parallel planning to unify the family and business, (2001)"	0.0616	0.2914	2	444	853	43
130090	"carnes c.m., ireland r.d., familiness and innovation: resource bundling as the missing link, entrepreneurship theory and practice, 37, 6, pp. 1399-1419, (2013)"	-0.241	0.9791	2	601	1658	51
130224	"carney m., corporate governance and competitive advantage in family-controlled firms, entrepreneurship theory and practice, 29, 3, pp. 249-265, (2005)"	-0.3841	0.1881	3	946	5967	228
130228	"carney m., corporate governance and competitive advantage in family-controlled firms, entrepreneurship theory and practice, 29, pp. 249-265, (2005)"	-0.6834	0.4742	6	250	416	46
130261	"carney m., corporate governance and competitive advantage in family–controlled firms, entrepreneurship theory and practice, 29, 3, pp. 249-265, (2005)"	-0.2129	-0.2125	4	580	1228	49
130319	"carney m., gedajlovic e., strike v.m., dead money: inheritance law and the longevity of family firms, entrepreneurship theory and practice, 38, 6, pp. 1261-1283, (2014)"	0.5444	-0.2136	1	376	583	27
