id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
4228	big data analytics	1.2094	-0.0346	4	248	1063	199	2020.4221	31.9347	2.7877
4394	biodiversity	0.286	0.3372	2	124	208	28	2019.9643	7.8571	0.9668
4476	biomedical research	-0.1445	-0.6128	1	143	258	14	2017.7143	22.6429	1.6352
4515	biotechnology	0.3018	0.0847	2	105	150	22	2020.4545	10.0455	1.3296
4651	blockchain	1.0365	-0.033	4	98	181	43	2021.9302	9.1395	1.5477
4760	body mass	-0.6074	-0.1445	3	216	437	16	2019.5	9.625	0.7343
5054	brazil	0.0257	0.3906	2	279	525	65	2019.8308	12.6769	1.0417
5086	breast feeding	-1.0118	-0.3127	1	145	293	16	2018.1875	11.8125	0.8542
5210	budget control	1.0969	-0.1152	4	103	174	31	2019.8387	7.7419	0.8127
5307	burnout	-0.8398	-0.4831	1	212	427	29	2020.7931	14.8276	1.1743
5331	business	0.4664	0.4991	2	412	1445	335	2020.3373	10.2627	1.1362
5353	business analytics	1.2497	-0.0616	4	193	597	122	2020.1066	14.5328	1.2464
5451	business decisions	1.1674	-0.2	4	101	194	25	2020.4	15.52	2.3132
5455	business development	0.532	0.5899	2	318	1015	173	2020.4913	15.5029	1.9325
5481	business environments	0.9832	0.2084	4	85	131	23	2019.3478	6.087	0.7656
5557	business intelligence	0.9593	-0.2693	4	199	478	75	2019.92	21.76	1.6135
5622	business modeling	0.8063	-0.0628	4	114	172	35	2018.2571	13.6857	1.0132
5624	business models	0.8433	0.1547	4	119	205	52	2021.0769	10.9423	1.1523
5662	business performance	0.9564	0.3094	4	124	228	69	2020.6087	8.4783	0.8037
5679	business process	1.1023	-0.0783	4	111	211	64	2019.4219	13.875	1.0926
5782	business strategy	1.0086	0.2875	4	104	165	40	2020.025	10.475	1.0566
5863	business-intelligence	1.1452	-0.0452	4	102	201	22	2022.3182	14.2273	1.3156
5998	california	-0.283	-0.1148	1	173	284	31	2019.4194	13.7419	0.959
6058	canada	-0.2815	-0.2856	1	271	527	51	2019.549	14.2549	1.2488
6066	cancer	-0.8602	-0.3464	1	141	250	17	2020.6471	14.4706	1.4042
6087	cancer patient	-0.9856	-0.5609	1	136	275	12	2020.1667	19.8333	1.6192
6152	capacity building	-0.3181	-0.07	1	168	264	19	2019.6316	10.3684	0.7967
6282	cardiovascular disease	-0.8639	-0.1533	3	176	292	16	2021.0625	13.375	1.2501
6311	career	-0.2862	-0.3672	1	214	506	46	2019.9348	7.3913	0.6452
6320	career choice	-0.6044	-0.6028	1	155	302	21	2018.1429	8.8571	0.606
6378	caregiver	-0.7642	-0.3601	1	367	991	57	2020.5263	12.807	1.125
6384	caregivers	-0.8864	-0.4554	1	225	554	31	2020.5161	12.8065	1.1127
6455	case report	-0.1934	-0.5602	1	198	406	29	2018.9655	8	0.7106
6458	case study	0.6104	0.2306	2	217	366	104	2019.6154	14.25	1.1099
6469	case-studies	0.9329	0.0341	4	171	314	60	2022	3.1667	0.4258
6554	catering service	-0.3849	0.5663	2	242	561	25	2018.88	17.88	1.2252
6569	cattle	-0.3721	0.7309	2	102	191	20	2020.05	14.95	1.2267
6881	challenges	0.6026	0.2764	2	114	175	49	2021.1224	9.5102	1.3044
7135	child	-0.8123	-0.053	3	679	4134	220	2019.9909	12.3455	0.9949
7142	child behavior	-1.1908	-0.1017	3	121	204	10	2019	31.2	2.5526
7146	child care	-0.8057	0.0206	3	243	506	36	2019.3611	10.9167	0.8899
7157	child health	-0.6952	0.0486	3	299	641	30	2019.7333	19.3667	1.3991
7158	child health care	-0.9378	-0.2195	3	173	296	13	2017.3846	26.6923	1.5701
7168	child nutrition	-0.9096	0.2301	3	116	198	8	2017.875	23	1.553
7173	child parent relation	-1.0444	-0.0557	3	231	563	32	2020.3125	12.7188	1.2786
7193	child welfare	-1.026	0.2605	3	114	184	20	2020.2	11.05	0.8306
7200	"child, preschool"	-1.0851	-0.062	3	387	1370	60	2019.05	24.1	1.7576
7210	childhood	-0.6027	0.0072	3	110	205	16	2020.0625	8.875	0.7862
7222	childhood obesity	-0.7375	-0.2914	3	112	198	10	2019.5	9.8	0.6978
7232	children	-0.5921	0.2861	3	205	379	41	2019.9756	9.9024	0.7628
7271	china	0.099	0.5496	2	586	2528	354	2020.613	14.4605	1.5471
7291	chinese	-0.3856	0.326	3	139	256	21	2021.7619	2.619	0.4601
7460	chronic disease	-0.4292	-0.4105	1	272	502	25	2019.4	12.72	0.9532
7564	cities	-0.3541	0.6706	3	151	271	18	2019.5	20.0556	1.629
7577	city	-0.458	0.4637	3	245	486	25	2019.64	14.96	1.2328
7664	classification	0.7129	-0.2978	4	241	517	66	2019.7424	30	2.561
7665	classification (of information)	1.2651	-0.4443	4	178	678	87	2020.069	14.5977	1.3565
7759	climate change	0.3668	0.3051	2	255	439	75	2020.5067	17.72	1.7008
7789	clinical article	-0.6115	-0.2785	1	470	1569	85	2020.4235	9.7529	0.9021
7824	clinical outcome	-0.2613	-0.5017	1	164	239	11	2020.8182	5.8182	1.0882
7830	clinical practice	-0.3552	-0.6557	1	303	629	34	2019	8.5588	0.649
7834	clinical research	-0.0882	-0.6098	1	151	217	14	2021.2857	7.4286	0.8022
7841	clinical trial	-1.0293	-0.3538	1	231	469	20	2018.9	16.75	1.2845
7901	cloud computing	1.0333	-0.1582	4	133	286	51	2018.3333	16.5294	1.2982
7951	cluster analysis	0.6271	-0.0526	4	248	435	62	2020.5645	9.2742	0.8288
7975	clustering	1.2386	-0.3315	4	108	248	46	2020.0435	10	1.0203
7977	clustering algorithms	1.2314	-0.3692	4	118	263	40	2018.55	57.5	3.3054
8153	cognition	-0.0646	0.1672	3	183	273	28	2020.8929	14.8571	1.5312
8229	cohort analysis	-0.9687	-0.0129	3	312	804	39	2020.7436	11.0769	1.0266
8475	commerce	1.0047	-0.1242	4	651	5652	772	2020.044	12.2513	1.2134
8525	commercial phenomena	-0.3399	0.0752	3	688	3056	176	2020.0625	10.0398	0.8911
8601	communication	-0.1537	-0.3866	1	278	581	80	2019.4875	12.1625	0.991
8661	community	-0.2934	0.0583	1	262	431	53	2020.9623	7.566	0.8697
8674	community care	-0.6178	-0.3241	1	167	251	13	2018.6923	8.9231	0.6541
8810	comorbidity	-0.9229	-0.0705	3	143	260	15	2018.5333	9.3333	0.6751
8872	comparative study	-0.1729	0.33	2	349	681	58	2019.0345	14.0862	1.0648
8911	competition	0.9616	0.0673	4	377	1258	180	2019.5944	12.1222	1.1065
8919	competitive advantage	1.1567	0.1737	4	167	390	69	2019.8116	9.2174	0.9092
8940	competitive intelligence	1.0885	-0.193	4	128	270	31	2018.5484	17.5806	1.4045
8962	competitiveness	0.6634	0.4741	2	160	251	59	2020.1186	8.5424	0.8232
9052	complication	-0.9952	0.0604	3	151	258	14	2019.1429	6.5714	0.591
9230	computer software	0.9379	-0.172	4	91	132	31	2018.3548	6.4194	0.4615
9306	conceptual framework	0.1586	0.3347	2	297	508	47	2020.3617	20.8723	2.1505
9417	conflict	0.0961	0.2685	3	105	189	41	2020.0976	17.9756	1.5264
9511	consensus	-0.5685	-0.1877	1	146	206	10	2020.9	17.7	1.4556
9613	construction industry	0.6196	0.0921	4	132	216	38	2020.0263	31.5263	2.1978
9653	consultation	-0.6611	-0.5238	1	194	347	19	2019	6.0526	0.3752
9658	consumer	0.0596	-0.2276	2	306	651	53	2019.8868	9.8679	0.8081
9674	consumer attitude	0.0425	0.0603	2	229	456	26	2020.1923	9.0385	0.9495
9677	consumer behavior	0.8804	-0.2766	4	337	1074	137	2020.5693	10.1971	0.8745
9829	consumption behavior	0.4876	0.2761	2	159	237	35	2021.1714	21.3143	3.9272
9868	content analysis	0.2215	-0.3568	1	264	485	67	2020.2836	17.8806	1.5484
9989	contraception	-0.8975	0.3022	5	164	338	19	2019.3158	11.2632	0.7575
9990	contraception behavior	-1.1155	0.3644	5	100	201	7	2019	21.4286	1.4276
9994	contraceptive behavior	-1.0743	0.3997	5	106	233	9	2019.4444	17.7778	1.2409
10092	controlled study	-0.6431	0.1399	3	744	5538	283	2020.2403	12.2473	1.0127
10164	convolutional neural network	0.5962	-0.5574	4	127	179	21	2021.9048	2.3333	0.4132
10169	cooking	-0.103	0.412	2	112	177	13	2019.3077	17.3077	1.493
10173	cooperation	-0.3048	-0.5068	1	248	487	44	2018.5227	8.6591	0.7993
10189	cooperative behavior	-0.4357	-0.5781	1	222	450	25	2017.12	11.28	0.6779
10231	coping behavior	-0.7309	-0.1589	1	179	319	16	2019.3125	12.75	1.195
10307	coronavirus	-0.2721	0.5003	3	243	461	33	2021.1212	28.1515	2.3541
10311	coronavirus disease 2019	-0.7228	0.1631	3	512	2043	92	2021.8804	16.7283	1.6219
10312	coronavirus infection	-0.7573	0.6208	3	188	422	17	2020.0588	48.1176	3.7624
10313	coronavirus infections	-0.8123	0.6083	3	182	401	15	2019.9333	53.2667	4.1441
10373	corporate governance	0.7758	0.612	2	161	512	259	2019.6757	15.5212	1.3954
10442	corporate social responsibility	0.6587	0.5553	2	181	453	158	2020.1962	20.9051	2.2388
10463	corporate strategy	0.6532	0.6143	2	109	219	48	2019.1875	14.8333	1.1905
10538	cost	-0.3813	0.1822	2	141	231	17	2017.6471	17.7647	1.0986
10543	cost benefit analysis	0.2097	-0.2766	4	281	520	48	2019.9375	12.6458	1.2788
10547	cost control	-0.4896	-0.5776	1	135	199	13	2019.8462	10.7692	1.1379
10552	cost effectiveness	0.9661	-0.1357	4	159	269	46	2019.5	11.9783	0.9824
10553	cost effectiveness analysis	-0.506	-0.4765	1	209	357	15	2020.4	37.4667	2.8301
10594	cost-benefit analysis	-0.0608	-0.1435	1	180	283	18	2019.5	15	1.6645
10621	costs	0.8512	-0.0644	4	253	550	96	2019.8333	11.4167	1.0655
10640	counseling	-0.5222	-0.6039	1	141	208	12	2018.8333	5.3333	0.4212
10750	covid-19	-0.1351	0.3108	3	691	3049	425	2022.0071	13.1059	1.8006
10768	covid-19 pandemic	0.0656	0.5362	2	114	172	46	2022.3696	13.5435	1.9867
10905	crime	0.7111	-0.2397	4	145	203	31	2019.2258	7.6129	0.5382
11157	cross-sectional studies	-0.9698	0.2775	3	450	1843	88	2019.6364	13.8182	1.1442
11158	cross-sectional study	-0.8687	0.3378	3	522	2573	124	2020	11.9677	1.024
11289	cultivation	0.565	0.2806	2	99	138	35	2019.8571	8.4857	0.8357
11300	cultural anthropology	-0.347	0.4527	2	155	270	14	2020.1429	5.6429	0.3787
11341	cultural factor	-0.4046	-0.0909	1	171	248	12	2019.1667	10.1667	0.7852
11404	culture	0.0673	0.4165	2	190	327	74	2019.6892	9.8378	0.9714
11444	curricula	0.9394	-0.1224	4	89	163	31	2020.2258	1.2903	0.3616
11490	customer behavior	1.4429	-0.2983	4	120	318	46	2021.8261	7.4348	0.7632
11551	customer experience	1.4186	-0.0889	4	107	261	51	2020.7451	8.2549	1.0483
11616	customer relationship management	1.3567	-0.0166	4	137	408	66	2019.8788	21.5303	1.6812
11636	customer satisfaction	1.2676	-0.0921	4	197	659	107	2020.8131	8.8785	1.2803
11642	customer segmentation	1.4879	-0.3328	4	107	358	47	2020.2766	9.0213	0.7907
11692	customers segmentations	1.4624	-0.3818	4	88	219	25	2022.48	3.64	0.6047
11740	cyber security	1.1419	-0.4844	4	87	156	28	2021.0357	86.2857	5.506
11764	cybersecurity	1.1395	-0.4243	4	95	169	32	2022.3125	5.5	0.9432
11932	data acquisition	0.8421	-0.1504	4	146	243	39	2019.7949	9.7436	0.9621
11939	data analysis	0.2911	-0.3569	4	391	795	71	2020.8451	13.2817	1.2731
11961	data analytics	1.2239	-0.1562	4	382	3340	489	2020.9243	16.8691	1.5762
11981	data base	-0.0924	-0.5291	1	143	192	10	2020.5	11.6	1.8191
11997	data collection	0.5038	-0.2319	4	168	250	26	2019.6154	7.8077	0.6492
12017	data driven	1.2931	-0.2401	4	132	306	43	2021.6977	7.3256	1.0801
12036	data extraction	0.1728	-0.4858	1	168	216	11	2020.4545	11.7273	1.0301
12049	data handling	1.1405	-0.2122	4	202	694	99	2019.0909	9.5253	0.9157
12088	data mining	1.1403	-0.3329	4	383	2367	340	2019.3706	19.6853	1.3812
12124	data privacy	0.9081	-0.4191	4	161	350	61	2020.4262	9.1967	0.8281
12127	data processing	0.29	-0.1841	4	160	203	14	2021.7143	21.8571	2.2337
12153	data science	0.975	-0.174	4	150	344	56	2020.8929	51.8393	4.8112
12176	data set	0.834	0.2381	2	111	177	27	2020.4074	9.1111	1.248
12224	data visualization	1.1921	-0.331	4	166	495	67	2020.403	8.4776	0.8353
12277	database	0.3919	0.1928	2	125	147	22	2020.0909	10.4091	2.0471
12363	death	-0.9794	-0.4593	1	197	460	27	2019.1481	12.2222	0.913
12446	decision making	0.6642	-0.1396	4	769	3992	476	2020.1471	12.9958	1.3208
12475	decision support system	0.4216	-0.2169	4	172	242	20	2020.75	16.85	1.7826
12477	decision support systems	1.1274	-0.1673	4	191	480	67	2020.1642	12.5522	1.2228
12488	decision tree	0.9907	-0.5189	4	115	231	31	2020.7097	4.9677	0.3684
12501	decision trees	1.2639	-0.4863	4	188	826	100	2020.47	17.9	1.909
12503	decision-making	0.4741	0.0578	4	193	330	64	2020.6094	12.1406	1.2879
12528	decisions makings	1.1583	0.0277	4	200	605	68	2022.3824	11.3529	1.6684
12576	deep learning	0.9494	-0.4764	4	293	943	149	2021.6309	38.651	3.3931
12583	deep neural networks	1.1389	-0.4576	4	77	148	24	2021.5	15.5	2.0539
12674	delivery of health care	-0.6135	-0.5567	1	311	804	44	2019.25	13.4773	1.0598
12733	dementia	-0.6628	-0.642	1	140	256	17	2020.6471	12.9412	1.0748
12772	demographics	-0.3147	0.2075	3	201	328	20	2022.35	5.95	0.65
12773	demography	-0.7317	0.2395	3	372	1080	56	2019.1786	13.8214	0.9642
12881	depression	-0.8173	-0.1389	3	356	928	51	2020.1765	16.6863	1.3811
12931	design	0.883	-0.1126	4	109	181	40	2018.9	12.65	1.0279
13026	design/methodology/approach	0.9164	-0.0363	4	102	157	26	2019.2692	12.8077	1.1905
13115	developing countries	0.2232	0.2552	2	371	783	106	2018.8962	16.1887	1.2539
13116	developing country	-0.3166	0.5076	2	292	607	40	2018.525	22.025	1.7223
13123	developing world	0.2775	0.5585	2	198	345	39	2020.4615	21.4872	2.7355
13227	diabetes mellitus	-0.6899	-0.1154	3	207	399	18	2019.2778	10.7778	0.6291
13238	diagnosis	-0.1214	-0.3427	1	218	366	31	2021.2258	9.5806	0.9882
13302	diet	-0.5395	0.2802	3	200	404	25	2019.2	35.16	2.2807
13545	digital marketing	1.3349	-0.1128	4	237	1054	206	2021.4806	11.2621	1.1796
13619	digital storage	1.1675	-0.1417	4	235	736	108	2019.7407	13.3056	1.0827
13627	digital technologies	1.0301	0.3074	4	101	177	31	2021.7097	16.7097	3.0274
13637	digital transformation	1.1077	0.1891	4	183	467	113	2022.3097	10.7434	1.8765
13661	digitalization	0.9295	0.2815	4	109	187	49	2022.3061	11.898	2.8564
13798	disaster	-0.2919	0.4435	2	140	230	17	2019	14.5882	2.4317
13815	disasters	0.2357	0.2071	2	137	223	32	2018.7188	8.6562	0.6176
13885	disease association	-0.9272	0.3408	3	178	336	14	2019.6429	14	1.1446
13888	disease control	-0.0118	0.0908	3	160	197	16	2020.6875	8.9375	1.0033
13898	disease outbreaks	-0.6235	0.4437	3	174	301	16	2019.625	36.5	2.8518
13909	disease severity	-1.0749	0.1175	3	167	273	13	2020.8462	11.6923	1.0592
13914	disease transmission	-0.9189	0.4123	3	157	270	10	2021.2	14.1	1.287
13917	diseases	0.0675	-0.2648	1	144	189	19	2020.3158	28.5263	2.0864
14007	distress syndrome	-1.0342	-0.0076	3	143	230	8	2021.125	21	2.7198
14190	doctor patient relation	-0.6218	-0.7575	1	162	281	13	2015.7692	19.9231	1.1086
14291	domestic violence	-0.3348	0.337	3	137	230	17	2021.0588	10.5294	0.9565
14458	drug dependence	-0.6835	0.0896	3	124	199	11	2020.7273	12.8182	1.2569
14479	drug industry	-0.0571	-0.3652	1	174	304	23	2019.3478	10.5652	0.9014
14487	drug marketing	0.0172	-0.428	1	151	287	26	2019.6538	19.4231	1.7438
14506	drug safety	-0.132	-0.5665	1	105	183	16	2020.875	19.625	1.7604
14650	dynamic capabilities	0.9782	0.386	2	95	178	59	2021.322	30.9153	3.2995
14770	e- commerces	1.382	-0.1105	4	116	318	40	2022.7	6.7	1.6643
14783	e-commerce	1.277	-0.0329	4	162	468	86	2021.1163	6.8023	0.8822
14829	e-learning	1.0823	-0.2696	4	152	377	54	2021.2407	9.8519	0.9403
15091	ecology	0.5763	0.1735	2	104	143	28	2018.9286	6.8929	0.5867
15115	economic analysis	0.6871	0.2569	2	192	304	50	2020.04	5.98	0.6492
15123	economic and social effects	0.828	0.1288	4	291	794	122	2020.0902	11.1557	1.3979
15127	economic aspect	-0.4258	0.32	3	347	731	38	2019.9474	32.7105	2.2679
15153	economic development	0.2943	0.438	2	331	733	100	2020.17	16.39	1.3691
15187	economic growth	0.3833	0.5721	2	159	289	55	2020.4182	20.0909	1.8145
15190	economic history	0.3918	0.721	2	80	173	41	2018.878	6.0244	0.5618
15193	economic impact	0.2455	0.355	2	152	217	29	2020.7586	11.2069	1.8929
15247	economic recession	-0.4434	0.4322	3	126	201	11	2017.3636	13.8182	0.8901
15305	economics	0.1573	-0.0058	2	741	3016	275	2018.5491	16.8291	1.1632
15327	ecosystem	0.1474	0.2755	2	158	225	25	2020.28	11.68	1.2417
15335	ecosystems	0.6213	-0.1364	4	115	157	25	2019.16	17.16	1.4959
15383	education	-0.1394	-0.0668	1	644	2438	223	2019.278	12.157	0.9945
15388	education computing	0.9055	-0.1879	4	89	156	25	2020.72	8.24	0.8233
15474	educational status	-0.7395	0.4122	3	426	1338	55	2020.5091	8.1273	0.6901
15536	efficiency	0.7647	-0.0666	4	198	334	72	2019.9306	10.2639	0.9071
15634	elderly care	0.1111	-0.086	3	139	194	19	2020.5263	29.4737	1.8155
15788	electronic commerce	1.2952	-0.1584	4	267	1112	159	2020.0063	10.2642	1.3298
15814	electronic health record	-0.1231	-0.6991	1	233	427	22	2020.8182	12.0909	1.1078
15816	electronic health records	-0.1918	-0.744	1	188	304	16	2020.1875	17.1875	1.4983
15827	electronic medical record	-0.4366	-0.6863	1	218	386	17	2020	10.4706	0.9142
15933	embedded systems	1.3203	-0.006	4	78	164	28	2019.5357	7.3571	0.6747
15953	emergency care	-0.5714	-0.4813	1	135	195	11	2019.3636	12.9091	1.023
15980	emergency ward	-0.8068	-0.5708	1	195	375	18	2020.3889	5.7222	0.8915
16005	emerging markets	0.8573	0.4535	2	78	137	44	2019.2727	13.8636	1.3708
16024	emigrants and immigrants	-0.8306	0.1975	3	132	225	11	2018.8182	8	0.5626
16045	emotion	-0.5337	0.1376	3	188	345	32	2020.875	18.8125	2.1728
16116	emotions	-0.3334	0.1287	3	188	346	43	2020.8837	19.3256	2.0622
16127	empirical analysis	0.5111	0.421	2	191	294	50	2020.02	9.48	0.9541
16160	employee	-0.2158	-0.0019	3	355	876	59	2020.0169	10.6441	0.8329
16246	employer	-0.2429	-0.265	1	187	357	21	2018.4286	9.7619	0.7724
16261	employment	0.039	0.2951	2	586	2066	232	2019.7586	12.694	1.1577
16295	employment status	-0.5714	0.5844	3	182	343	14	2020.2857	10.0714	0.8533
16302	empowerment	-0.1355	0.4544	2	278	540	69	2020.4348	11.6377	1.367
16424	energy efficiency	0.6403	0.0479	4	116	183	42	2019.5238	14.5714	1.3866
16482	energy utilization	0.7925	-0.01	4	90	132	29	2020.0345	13.8621	1.2775
16525	engineering education	0.8916	-0.1528	4	124	262	47	2019.6383	3.7234	0.5349
16565	england	-0.2239	0.0677	2	233	446	41	2020.122	11.1707	1.0005
16684	enterprise resource management	1.1069	0.0589	4	92	168	42	2018.7381	28.881	2.376
16685	enterprise resource planning	0.9644	0.0308	4	107	157	33	2019.2121	13.1515	0.9777
16731	entrepreneur	0.3335	0.6973	2	299	1150	241	2020.2614	12.7635	1.5722
16837	entrepreneurial intention	0.4468	0.6837	2	71	131	80	2020.775	17.275	1.755
16867	entrepreneurial orientation	0.792	0.6456	2	99	251	112	2020.7232	17.8125	1.889
16949	entrepreneurs	0.358	0.4605	2	134	230	69	2020.2609	9.3478	0.8755
16951	entrepreneurship	0.3857	0.4836	2	451	1927	642	2020.0202	10.2259	1.0085
17043	environment	0.2714	0.1452	2	195	290	48	2020.0625	7.8542	0.8867
17093	environmental economics	0.6384	0.3687	2	149	259	33	2021.0303	34.303	3.6575
17101	environmental factor	-0.2852	0.2359	3	152	211	11	2017.8182	21.2727	1.2614
17117	environmental impact	0.4817	0.1636	2	161	250	32	2019.4062	16.8438	1.4717
17134	environmental management	0.7141	0.2916	2	148	246	39	2019.9744	25.3333	2.4727
17168	environmental protection	0.3783	0.3917	2	160	254	33	2019.8485	9.4848	0.8765
17195	environmental sustainability	0.3854	0.2616	2	148	205	23	2020.7391	32.913	2.9314
17234	epidemic	-0.5274	0.4264	3	271	592	34	2020.4412	28.9706	2.7659
17247	epidemiology	-0.8111	0.156	3	502	1885	95	2020.7158	12.1895	1.2542
17499	ethics	0.0057	-0.3339	1	295	540	74	2019.1892	17.6622	2.2575
17516	ethiopia	0.0623	0.6062	2	142	195	41	2021.3415	5.0244	0.624
17566	ethnicity	-0.1036	-0.1045	1	227	389	38	2020.5263	7.7895	0.6754
17581	ethnography	-0.0469	0.4447	2	161	260	47	2019.383	12.0851	1.2276
17582	ethnology	-0.8459	0.1561	3	240	471	21	2017.9524	10.8571	0.7013
17630	europe	0.254	0.2766	2	215	332	50	2020.16	25.58	2.0009
17661	european union	0.4366	0.2683	2	112	131	31	2019.7419	13	1.0294
17702	evaluation study	-0.3211	-0.1283	1	146	212	10	2017.7	15.6	0.9402
17762	evidence based practice	-0.7772	-0.5004	1	166	301	14	2018.9286	43.2857	2.3522
17873	exercise	-0.6337	-0.2243	3	242	495	23	2019.913	12.2609	0.9544
18070	exploratory research	-0.0194	-0.3788	1	193	310	18	2019.2222	13.2778	1.0244
18310	facebook	0.9732	-0.3174	4	129	302	48	2019.7083	7.9583	0.9344
18344	factor analysis	0.5259	0.1982	2	138	197	37	2020.1351	8.027	0.829
18481	familiness	0.8398	0.5812	2	75	161	65	2020.3846	13.3846	1.4108
18494	family	-0.4768	-0.0084	1	687	3275	320	2019.6469	13.0875	0.9653
18554	family business	0.6934	0.5065	2	484	3573	1918	2020.1361	13.0568	1.3193
18683	family businesses	0.7484	0.4477	2	163	364	214	2020.2897	10.257	1.041
18712	family characteristics	-0.3121	0.6895	2	397	1339	66	2019.5152	20.0909	1.4596
18748	family conflict	-0.2945	0.1711	3	136	301	19	2019.9474	16.7895	1.3218
